Record_Number,Channel,CAN_ID_Hex,Frame_Type,Length,Timestamp,Data_Hex,First_4_Bytes,Float_Value
118,0,0x10F,STD,8,2026-01-28T18:46:30.184434,03 00 03 00 BC FF 55 3D,03000300,0.000000
119,0,0x110,STD,8,2026-01-28T18:46:30.208440,03 00 03 00 BD AF 45 48,03000300,0.000000
120,0,0x10F,STD,8,2026-01-28T18:46:30.221442,03 00 02 00 EA 90 2B 41,03000200,0.000000
121,0,0x10F,STD,8,2026-01-28T18:46:30.221442,03 00 02 00 EA C5 2C 41,03000200,0.000000
122,0,0x110,STD,8,2026-01-28T18:46:30.221442,03 00 02 00 EA C5 2C 41,03000200,0.000000
123,0,0x10F,STD,8,2026-01-28T18:46:30.221442,03 00 01 00 00 00 00 00,03000100,0.000000
124,0,0x10F,STD,8,2026-01-28T18:46:30.255954,03 00 03 00 CB CC 90 3D,03000300,0.000000
125,0,0x110,STD,8,2026-01-28T18:46:30.290466,03 00 03 00 57 80 9C 48,03000300,0.000000
126,0,0x10F,STD,8,2026-01-28T18:46:30.338476,03 00 03 00 A7 55 34 3D,03000300,0.000000
127,0,0x110,STD,8,2026-01-28T18:46:30.361987,03 00 03 00 31 A6 C0 48,03000300,0.000000
128,0,0x10F,STD,8,2026-01-28T18:46:30.426002,03 00 03 00 A0 4F AF 3D,03000300,0.000000
129,0,0x110,STD,8,2026-01-28T18:46:30.449511,03 00 03 00 59 6B 73 48,03000300,0.000000
130,0,0x10F,STD,8,2026-01-28T18:46:30.496522,03 00 03 00 3C 8E 3F 3D,03000300,0.000000
131,0,0x110,STD,8,2026-01-28T18:46:30.520527,03 00 03 00 3F 99 85 48,03000300,0.000000
132,0,0x10F,STD,8,2026-01-28T18:46:30.577540,03 00 03 00 83 11 A3 3D,03000300,0.000000
133,0,0x110,STD,8,2026-01-28T18:46:30.601545,03 00 03 00 49 13 9A 48,03000300,0.000000
134,0,0x10F,STD,8,2026-01-28T18:46:30.658558,03 00 03 00 94 26 79 3D,03000300,0.000000
135,0,0x110,STD,8,2026-01-28T18:46:30.682563,03 00 03 00 0D 7B 95 48,03000300,0.000000
136,0,0x10F,STD,8,2026-01-28T18:46:30.739576,03 00 03 00 ED D4 73 3D,03000300,0.000000
137,0,0x110,STD,8,2026-01-28T18:46:30.763582,03 00 03 00 41 79 F4 48,03000300,0.000000
138,0,0x10F,STD,8,2026-01-28T18:46:30.820595,03 00 03 00 60 4A 79 3D,03000300,0.000000
139,0,0x110,STD,8,2026-01-28T18:46:30.844600,03 00 03 00 15 FC 12 49,03000300,0.000000
140,0,0x10F,STD,8,2026-01-28T18:46:30.901613,03 00 03 00 2C 65 16 3D,03000300,0.000000
141,0,0x110,STD,8,2026-01-28T18:46:30.925618,03 00 03 00 D2 F3 20 48,03000300,0.000000
142,0,0x10F,STD,8,2026-01-28T18:46:30.983631,03 00 03 00 24 91 50 3D,03000300,0.000000
143,0,0x110,STD,8,2026-01-28T18:46:31.007637,03 00 03 00 A5 E8 62 48,03000300,0.000000
144,0,0x10F,STD,8,2026-01-28T18:46:31.053647,03 00 03 00 18 07 1E 3D,03000300,0.000000
145,0,0x110,STD,8,2026-01-28T18:46:31.077652,03 00 03 00 E5 A7 29 48,03000300,0.000000
146,0,0x10F,STD,8,2026-01-28T18:46:31.134492,03 00 03 00 2E DA 19 3D,03000300,0.000000
147,0,0x110,STD,8,2026-01-28T18:46:31.158497,03 00 03 00 1F CD 0D 48,03000300,0.000000
148,0,0x10F,STD,8,2026-01-28T18:46:31.215505,03 00 03 00 4E 58 11 3D,03000300,0.000000
149,0,0x110,STD,8,2026-01-28T18:46:31.239510,03 00 03 00 98 A9 60 48,03000300,0.000000
150,0,0x110,STD,8,2026-01-28T18:46:31.263515,03 00 01 00 00 00 00 00,03000100,0.000000
